round_epochs,val_loss,loss,activation,batch_size,dropout,epochs,losses,optimizer
50,0.7812153014740073,0.7850034060822505,sigmoid,256,0,50,hinge,Adadelta
10,0.9114620297554389,0.9956426083788438,softmax,256,0,10,huber_loss,SGD
50,0.8832258832174442,0.9874225507484623,selu,256,0.25,50,huber_loss,SGD
10,62.67225051486686,483.00553258503874,hard_sigmoid,256,0.25,10,mean_squared_error,Adam
30,0.9259937571573861,1.0153811627426705,relu,256,0.25,30,mean_absolute_error,RMSprop
10,62.34652712547758,482.6740974797118,sigmoid,256,0,10,mean_squared_error,Adadelta
30,0.9368771899889002,1.0253484069654097,sigmoid,256,0.25,30,mean_absolute_error,Adam
50,62.02884845837115,482.28650288089034,hard_sigmoid,256,0.25,50,mean_squared_error,Adamax
10,1.2666940617949363,1.3520866143022747,softmax,256,0,10,mean_absolute_error,RMSprop
10,-0.07331381348141926,-0.05048277474141672,hard_sigmoid,256,0,10,binary_crossentropy,RMSprop
50,61.940187340403554,482.21842434474917,selu,256,0.25,50,mean_squared_error,RMSprop
30,0.9169060971594633,1.0019932310780357,sigmoid,256,0.25,30,huber_loss,SGD
10,0.8046447714457244,0.8173151627471279,relu,256,0,10,hinge,Adadelta
30,0.7743534687199171,0.7829793392064831,selu,256,0.25,30,hinge,Adadelta
50,0.7762694544214452,0.7813880256517365,sigmoid,256,0.25,50,hinge,Nadam
30,0.6648699324342269,0.7506473233757182,linear,256,0,30,logcosh,Adam
10,62.74106296277176,483.05709577990683,softmax,256,0.25,10,mean_squared_error,Adagrad
30,0.37722782884972006,0.30049581119000435,softmax,256,0,30,binary_crossentropy,SGD
10,0.9919514252954107,0.9896190260423136,softmax,256,0.25,10,hinge,Adadelta
10,0.7206342381982648,0.8103250476649033,relu,256,0,10,huber_loss,Adamax
30,0.7015431623562335,0.7869775231124209,softsign,256,0,30,logcosh,Adadelta
50,nan,nan,relu,256,0.25,50,binary_crossentropy,SGD
30,0.7767393221475763,0.7831650434264938,softplus,256,0.25,30,hinge,Adadelta
10,0.9083098940564754,0.9269618905057543,softsign,256,0.25,10,hinge,Adam
30,0.6903722686103627,0.7824056736277544,relu,256,0.25,30,logcosh,Adamax
30,61.98463579112324,482.3092063928112,elu,256,0.25,30,mean_squared_error,Adamax
10,62.10588042343719,482.3282506707818,selu,256,0,10,mean_squared_error,Adamax
50,0.7801050120193316,0.786729630432696,softsign,256,0.25,50,hinge,Adagrad
50,0.7228033089939552,0.8073266768804301,softsign,256,0.25,50,huber_loss,Nadam
30,0.7284293514263781,0.8126772096720772,softsign,256,0,30,huber_loss,RMSprop
50,-0.26919386795238603,-0.5106283978872448,softsign,256,0.25,50,binary_crossentropy,SGD
50,0.7692821408482184,0.7727917943882908,softplus,256,0,50,hinge,Nadam
10,62.208759276819485,482.5323965370571,softplus,256,0.25,10,mean_squared_error,Adamax
10,-1.7900368210204471,-1.9241308011554108,hard_sigmoid,256,0,10,binary_crossentropy,Adagrad
30,0.6928036755075506,0.781092243269965,tanh,256,0.25,30,logcosh,Adam
50,0.6621462790056336,0.7489131788928423,elu,256,0,50,logcosh,Adadelta
10,0.7808089285388347,0.8083396104778418,softplus,256,0.25,10,hinge,Adadelta
50,nan,nan,exponential,256,0,50,hinge,Adagrad
50,0.6944362060933174,0.7793858982640204,linear,256,0,50,huber_loss,Adamax
50,nan,nan,exponential,256,0,50,mean_squared_error,Adagrad
10,0.9906239274613033,0.9882928993748066,softmax,256,0.25,10,hinge,Adam
30,62.01658116973546,482.25934722334665,tanh,256,0,30,mean_squared_error,Adamax
50,62.02311298515223,482.27154186819456,hard_sigmoid,256,0.25,50,mean_squared_error,Adagrad
50,0.7296661099732246,0.8150272129447238,softmax,256,0,50,logcosh,Adamax
10,-1.4976169631882128,-1.4724860624526683,softsign,256,0.25,10,binary_crossentropy,Adagrad
50,nan,nan,exponential,256,0.25,50,logcosh,Adagrad
50,nan,nan,exponential,256,0.25,50,mean_absolute_error,Adam
10,0.774910926387711,0.7943240481201576,elu,256,0.25,10,hinge,Adagrad
30,nan,nan,exponential,256,0.25,30,logcosh,Adagrad
30,0.9317184370853155,1.0195020031625226,elu,256,0.25,30,mean_absolute_error,Adamax
30,0.8709871763562208,0.953600325073595,linear,256,0,30,mean_absolute_error,RMSprop
30,-8.319223342709257,-8.516404631228985,tanh,256,0.25,30,binary_crossentropy,Nadam
30,0.7125337692971255,0.8038853972573615,softplus,256,0.25,30,huber_loss,RMSprop
50,0.6897193477985872,0.7758744402756496,hard_sigmoid,256,0.25,50,logcosh,Adamax
30,0.6924988074500996,0.7781344967920187,linear,256,0,30,huber_loss,Adagrad
30,0.900897422599965,0.9857373942232964,relu,256,0,30,huber_loss,SGD
10,1.0736877918243408,1.1691738805606602,hard_sigmoid,256,0,10,mean_absolute_error,Adadelta
30,0.7674740553980063,0.7708611246998325,softplus,256,0,30,hinge,Adadelta
50,0.7567180306743325,0.759533338723401,elu,256,0,50,hinge,Adam
10,0.7489219442629684,0.8386112959838352,hard_sigmoid,256,0.25,10,huber_loss,Adagrad
10,0.8231405788261248,0.9091501394045021,softmax,256,0.25,10,logcosh,Adagrad
30,0.7830148606576282,0.7862540291918511,tanh,256,0,30,hinge,Adam
50,0.6903412254766357,0.7750457288128636,sigmoid,256,0,50,logcosh,Adamax
10,62.020519867081326,482.2785859569281,relu,256,0,10,mean_squared_error,Adam
50,-0.941157114872234,-0.939783690953491,softmax,256,0,50,binary_crossentropy,Adadelta
10,0.7261253875591009,0.8583122981837922,relu,256,0.25,10,huber_loss,Adam
10,62.8701100358049,483.17679240603445,softsign,256,0.25,10,mean_squared_error,SGD
50,0.7268729849060017,0.8106449327698402,softsign,256,0,50,huber_loss,Adadelta
10,0.6777786082212576,0.7636022207139516,linear,256,0,10,logcosh,RMSprop
50,0.7809612572085362,0.7873915344715794,hard_sigmoid,256,0.25,50,hinge,Adagrad
30,0.7565061060903732,0.7597077067250517,softplus,256,0,30,hinge,Adagrad
30,-54.09525057980639,-111.38672066184922,elu,256,0.25,30,binary_crossentropy,Adadelta
10,-0.14695360261616827,-0.22347001599542596,softsign,256,0,10,binary_crossentropy,RMSprop
10,0.47612087269588144,0.47705674920373503,softmax,256,0.25,10,binary_crossentropy,RMSprop
10,0.78339879831828,0.7901990947829153,elu,256,0,10,hinge,Adamax
10,62.09243411396985,482.71911781145866,linear,256,0.25,10,mean_squared_error,Adadelta
30,0.6984602620330038,0.783519065790775,softsign,256,0,30,logcosh,Adam
50,nan,nan,exponential,256,0,50,logcosh,RMSprop
30,0.06488771049497787,-0.04221375760547166,softsign,256,0.25,30,binary_crossentropy,SGD
30,0.7601005818701566,0.7641730775468583,relu,256,0,30,hinge,Adam
10,nan,nan,softplus,256,0.25,10,binary_crossentropy,SGD
30,0.7556122481068478,0.758795842605697,relu,256,0,30,hinge,RMSprop
30,0.9281850734196778,1.0080958253204289,tanh,256,0,30,mean_absolute_error,Adagrad
30,0.665191911228311,0.7645494337490337,softplus,256,0.25,30,logcosh,Adagrad
50,0.7823423353069299,0.7883754132659213,softsign,256,0.25,50,hinge,Adadelta
10,0.9457985395548788,1.0335824226309185,softplus,256,0,10,mean_absolute_error,Adamax
10,0.8179423949170932,0.8272887098727332,softsign,256,0,10,hinge,Nadam
30,0.7317876801783957,0.8191390103638988,sigmoid,256,0.25,30,huber_loss,Adam
10,nan,nan,exponential,256,0.25,10,huber_loss,Nadam
30,62.02343964706062,482.2599309644028,softsign,256,0,30,mean_squared_error,Adadelta
30,0.9081947415474311,0.9923424996987668,elu,256,0,30,huber_loss,SGD
50,0.9232140916381132,1.0094771502208124,hard_sigmoid,256,0.25,50,mean_absolute_error,Adam
30,0.027155694731967574,-0.016825631619512386,softmax,256,0.25,30,binary_crossentropy,Adagrad
50,61.997453603347864,482.3142112184662,relu,256,0.25,50,mean_squared_error,Adamax
10,1.0107735565730505,1.0099684682416714,tanh,256,0.25,10,hinge,SGD
30,-1611.923529571478,-12835.242695353401,selu,256,0.25,30,binary_crossentropy,Adam
10,62.57833269577992,482.9381509324524,softsign,256,0.25,10,mean_squared_error,RMSprop
30,0.9073621720129499,0.999610974576013,selu,256,0.25,30,mean_absolute_error,Nadam
10,nan,nan,exponential,256,0,10,hinge,Adagrad
30,nan,nan,linear,256,0.25,30,binary_crossentropy,SGD
50,61.88781658262284,482.12184010119074,selu,256,0,50,mean_squared_error,Adadelta
50,0.7196725767516745,0.8102948949155857,linear,256,0.25,50,huber_loss,Adagrad
30,0.6936116962277652,0.7792247146747764,softplus,256,0,30,huber_loss,RMSprop
10,1.1055086499743607,1.1988001012644602,softsign,256,0,10,mean_absolute_error,RMSprop
30,0.7780081000293573,0.7889928244486796,elu,256,0.25,30,hinge,Adadelta
30,0.7238624404179468,0.8159332378341545,relu,256,0.25,30,huber_loss,Adadelta
10,61.97034197388247,482.1988392038242,elu,256,0,10,mean_squared_error,RMSprop
50,0.7760008091736874,0.7798147561022447,softsign,256,0,50,hinge,Nadam
30,0.7590813089236212,0.762969789667026,elu,256,0,30,hinge,Adam
10,nan,nan,exponential,256,0,10,mean_absolute_error,Adagrad
50,0.6948168140854586,0.7865629990801827,softplus,256,0.25,50,huber_loss,RMSprop
30,0.9322018608262267,1.012415778642558,sigmoid,256,0,30,mean_absolute_error,Adagrad
10,1.3092104905768285,1.3954027735888817,tanh,256,0.25,10,mean_absolute_error,SGD
30,0.7859617443671063,0.7937520721882455,softsign,256,0.25,30,hinge,Adagrad
30,-65332.6824494236,-136274.8429683813,elu,256,0.25,30,binary_crossentropy,Nadam
50,-34322834.20614828,-130330583.58659746,relu,256,0.25,50,binary_crossentropy,Nadam
30,nan,nan,elu,256,0,30,binary_crossentropy,Adadelta
10,1.0893922312350213,1.1856581260146484,hard_sigmoid,256,0.25,10,mean_absolute_error,RMSprop
30,0.7810431077510496,0.7878393728308882,hard_sigmoid,256,0.25,30,hinge,RMSprop
10,0.9490630580331275,1.0922084370836327,elu,256,0.25,10,mean_absolute_error,Adam
30,61.99004820501179,482.2215092278922,tanh,256,0,30,mean_squared_error,Nadam
10,0.6992921290302794,0.7845485710546395,tanh,256,0,10,logcosh,Adagrad
30,1.2991765224480931,1.3828788985616478,softsign,256,0,30,mean_absolute_error,SGD
30,-3540.4696857252347,-14918.031207082406,selu,256,0,30,binary_crossentropy,Adagrad
30,nan,nan,selu,256,0.25,30,binary_crossentropy,Adadelta
10,0.3267762154394636,0.32935561960516474,softmax,256,0.25,10,binary_crossentropy,Nadam
10,nan,nan,exponential,256,0,10,huber_loss,Adagrad
50,0.6890363436710986,0.7736355692724847,relu,256,0,50,logcosh,Adadelta
50,0.72373995977112,0.8096819811128344,tanh,256,0.25,50,huber_loss,Adadelta
50,0.894142730218808,0.9996261721008395,relu,256,0.25,50,mean_absolute_error,Nadam
10,0.7360685843886777,0.8207797321748936,tanh,256,0,10,huber_loss,Adagrad
30,0.77323196238247,0.7776332747379301,elu,256,0,30,hinge,Adagrad
10,0.7489768376617708,0.841344579878479,hard_sigmoid,256,0.25,10,huber_loss,Nadam
50,-4.532632977794351,-4.859144265722587,softsign,256,0.25,50,binary_crossentropy,RMSprop
10,0.5867522116379971,0.5693978123532089,softmax,256,0,10,binary_crossentropy,SGD
50,0.7562980743472011,0.7588950894305367,selu,256,0,50,hinge,Adam
10,0.712143466981367,0.7985833185413301,elu,256,0,10,huber_loss,Adadelta
50,0.19071110743510572,0.06503389216695771,softmax,256,0,50,binary_crossentropy,SGD
10,0.7859094505068622,0.8643380156267696,linear,256,0.25,10,hinge,Adam
50,0.7230348377934848,0.806782617103159,tanh,256,0,50,huber_loss,Adamax
50,0.9375354360930527,0.9444211885410415,softplus,256,0.25,50,hinge,SGD
10,0.827711638123821,0.8375017559714,tanh,256,0,10,hinge,Adamax
30,1.307761523650309,1.3910911761684877,relu,256,0,30,mean_absolute_error,SGD
50,1.1245709881860135,1.2080256531068658,softmax,256,0,50,mean_absolute_error,RMSprop
30,-3.775674810892419,-3.9015471189299977,hard_sigmoid,256,0.25,30,binary_crossentropy,Adagrad
30,-76789.67450977622,-328102.2773870708,linear,256,0,30,binary_crossentropy,Adagrad
50,0.6679539252577811,0.7606945651046731,selu,256,0.25,50,logcosh,Adam
50,nan,nan,exponential,256,0.25,50,hinge,Adagrad
30,0.6941549887924471,0.7815672813749021,hard_sigmoid,256,0.25,30,logcosh,Adagrad
30,0.692814037338519,0.7779204863430813,softsign,256,0,30,logcosh,RMSprop
10,62.415839828160095,482.7562321909985,hard_sigmoid,256,0.25,10,mean_squared_error,RMSprop
10,0.867067820987046,0.9520822963437814,hard_sigmoid,256,0,10,logcosh,SGD
10,62.122849229878156,482.3853752238394,hard_sigmoid,256,0,10,mean_squared_error,Nadam
50,0.8859544533286344,0.9663790677053965,elu,256,0,50,mean_absolute_error,RMSprop
30,-20.687419360197044,-19.464384934090962,softsign,256,0.25,30,binary_crossentropy,Adadelta
50,0.8555192222000246,0.9404649872890111,sigmoid,256,0,50,logcosh,SGD
50,62.015508205075804,482.2450257580817,relu,256,0.25,50,mean_squared_error,Nadam
30,0.8434393046993028,0.9286599900993664,softmax,256,0.25,30,huber_loss,RMSprop
10,1.086628575005971,1.1829486243451413,hard_sigmoid,256,0.25,10,mean_absolute_error,Adam
50,0.6901406487332115,0.7797141952748678,linear,256,0.25,50,logcosh,Adamax
30,62.03801478097926,482.3216151489071,tanh,256,0.25,30,mean_squared_error,RMSprop
50,nan,nan,exponential,256,0.25,50,binary_crossentropy,RMSprop
10,nan,nan,exponential,256,0.25,10,mean_absolute_error,Adam
50,0.9179422627952604,1.0085199983292112,softplus,256,0.25,50,mean_absolute_error,Adamax
10,0.6892661177443768,0.7839333472976486,softplus,256,0.25,10,logcosh,Nadam
30,0.7603208434517086,0.7649576525577907,linear,256,0,30,hinge,Adadelta
10,-2.2062033056997263,-3.9145148701125465,selu,256,0.25,10,binary_crossentropy,Adamax
10,61.99654702122776,482.2387470494694,relu,256,0,10,mean_squared_error,Nadam
50,0.8500552821978522,0.93666745661114,elu,256,0,50,logcosh,SGD
30,0.6981945099278772,0.786136489423056,sigmoid,256,0.25,30,logcosh,Adam
30,0.7035535930724945,0.7927669824548013,softsign,256,0.25,30,logcosh,Adadelta
10,nan,nan,exponential,256,0,10,hinge,SGD
10,0.9670932988146115,0.9664812254815689,softmax,256,0,10,hinge,Nadam
30,0.7006387669613305,0.7851238273235355,softplus,256,0,30,huber_loss,Nadam
10,0.3015089194554748,0.289385028848,softmax,256,0.25,10,binary_crossentropy,Adagrad
50,0.9209513682568914,1.0006235476483034,sigmoid,256,0,50,mean_absolute_error,Adamax
50,0.7749100092522274,0.7806190861852285,elu,256,0.25,50,hinge,Nadam
30,61.908481473733026,482.1463145181333,linear,256,0,30,mean_squared_error,Adam
10,62.34863565110384,482.7412057915292,tanh,256,0.25,10,mean_squared_error,RMSprop
50,0.7556027775431627,0.7581590457084101,linear,256,0,50,hinge,Adagrad
30,0.7155511117326415,0.8001768656669219,relu,256,0,30,huber_loss,Adadelta
30,61.88599402132776,482.1150581248249,selu,256,0,30,mean_squared_error,Adagrad
50,0.8864105059268461,0.9366530078995503,linear,256,0.25,50,hinge,SGD
30,0.6946829509993789,0.7795583951186323,linear,256,0,30,huber_loss,Adamax
10,0.9423772610764392,1.0422164499900317,tanh,256,0.25,10,mean_absolute_error,Adagrad
10,1.0512607658103406,1.1505707380849273,hard_sigmoid,256,0.25,10,mean_absolute_error,Adadelta
30,-109.80426504814604,-327.89213043004065,selu,256,0.25,30,binary_crossentropy,RMSprop
30,nan,nan,exponential,256,0.25,30,binary_crossentropy,SGD
50,62.508573342404354,482.8017966248844,softmax,256,0.25,50,mean_squared_error,Adam
10,0.7730833104462994,0.7773062411824055,softplus,256,0,10,hinge,Nadam
30,61.91033040852055,482.1325538422826,linear,256,0,30,mean_squared_error,Nadam
30,0.7563234053511732,0.7591027597764463,selu,256,0,30,hinge,Nadam
50,nan,nan,exponential,256,0,50,logcosh,Adadelta
30,nan,nan,exponential,256,0,30,mean_squared_error,Adagrad
